Time (s),Voltage (V),Current (mA),Charge (mA.h),Temperature (degC)
51874.40046390169,2.8197966,-499.9509,4785.667602028846,21.959141
51875.40046394919,2.8194816,-499.87204,4785.806464277584,21.91188
51876.40046399669,2.8192453,-499.91147,4785.9453266468,21.817362
51877.40046404419,2.818891,-499.77347000000003,4786.0841898812905,21.864620000000002
51878.40046409168,2.8186153999999997,-499.93118,4786.223054758678,21.801607
51879.40046413918,2.8183005000000003,-499.87204,4786.361918234087,21.848867000000002
51880.40046418668,2.8180642000000002,-499.85233,4786.500781041383,21.872498
51881.40046423418,2.8176312,-499.83261,4786.6396435201395,21.785854
51882.40046428167,2.8173556,-499.91147,4786.778507521331,21.935510999999998
51883.40046432917,2.8171587000000002,-499.93118,4786.917370799599,21.974894
51884.40046437667,2.8168831,-499.93118,4787.056234976065,21.777977
51885.40046442417,2.8165287999999995,-499.83261,4787.195099272906,21.557434
51886.40046447166,2.8160958,-499.91147,4787.333961368327,21.746471
51887.40046451916,2.8159777999999998,-499.97060999999997,4787.472823956557,22.30571
51888.40046456666,2.8156232999999995,-499.91147,4787.611686457252,21.691336
51889.40046461415,2.8152297,-499.89175,4787.750550458395,21.525927
51890.40046466165,2.8149933999999996,-500.02975,4787.889413955727,21.770101999999998
51891.40046470915,2.8147178,-499.87204,4788.028277080659,21.754348999999998
51892.40046475665,2.8143635,-499.85233,4788.167139986543,21.785854
51893.40046480414,2.8141667999999997,-499.93118,4788.306002881508,21.738595999999998
51894.40046485164,2.8138125,-499.97060999999997,4788.444865590299,22.148178
51895.40046489914,2.8135762000000004,-499.9509,4788.583728112865,22.077288
51896.400464946644,2.813143,-499.9509,4788.722590953034,21.840992
51897.400464994134,2.812907,-499.89175,4788.861454088936,21.943386
51898.40046504163,2.8125525000000002,-499.85233,4789.000317794363,21.833115
51899.40046508913,2.8121982000000005,-499.9509,4789.13918085358,21.919756
51900.400465136634,2.8119621,-499.9509,4789.278043890893,22.077288
51901.400465184124,2.8116469,-499.91147,4789.416906588714,21.825236999999998
51902.40046523162,2.8113716,-499.91147,4789.555769954617,21.919756
51903.40046527912,2.8110169999999997,-499.8129,4789.694633156284,22.045782
51904.400465326624,2.8107417000000003,-499.93118,4789.833497047935,21.6362
51905.400465374114,2.8104661,-499.87204,4789.9723599428835,22.108795
51906.40046542161,2.8100327999999997,-499.91147,4790.111223637343,22.006399
51907.40046546911,2.8097179,-499.9509,4790.250087507056,22.093042
51908.40046551661,2.8094029,-499.89175,4790.388951519169,22.030029000000003
51909.400465564104,2.8091272999999997,-499.93118,4790.527815038405,22.069412
51910.4004656116,2.8088517000000004,-499.89175,4790.666678919069,21.840992
51911.4004656591,2.8084974,-499.93118,4790.805542000176,21.730719
51912.4004657066,2.8082217999999997,-499.97060999999997,4790.944405355142,21.785854
51913.40046575409,2.8079857999999995,-499.9509,4791.083268633442,22.187559
51914.40046580159,2.8075132000000003,-499.99033,4791.222131813153,22.171808
51915.40046584909,2.8072376,-499.91147,4791.360995201011,22.179683999999998
51916.40046589659,2.8070409,-499.93118,4791.499858544975,21.927633
51917.40046594408,2.8066471,-499.87204,4791.6387215823715,21.840992
51918.40046599158,2.8063715,-499.87204,4791.7775853097055,21.809484
51919.400466039086,2.8059385,-499.91147,4791.916448566117,22.132423
51920.40046608658,2.8056235000000003,-499.87204,4792.055311964859,22.077288
51921.40046613407,2.8055055,-499.83261,4792.194175024043,22.108795
51922.40046618157,2.8050723,-499.89175,4792.333038335183,21.896128
51923.400466229075,2.804836,-499.99033,4792.471901898246,21.840992
51924.40046627657,2.8044031000000005,-499.93118,4792.610764475574,21.880373000000002
51925.40046632406,2.8040488,-499.87204,4792.749628334318,22.077288
51926.40046637156,2.8037732,-499.9509,4792.888490637835,21.730719
51927.400466419065,2.8034582,-499.87204,4793.027353554655,21.896128
51928.40046646656,2.8031039,-499.93118,4793.1662179501345,21.896128
51929.40046651405,2.8027496,-499.91147,4793.305079957971,21.951263
51930.40046656155,2.8025133999999996,-499.9509,4793.443943893382,22.124548
51931.400466609055,2.8020802000000002,-499.91147,4793.582808168336,22.226944
51932.40046665655,2.8018441000000003,-499.89175,4793.721672038067,21.864620000000002
51933.400466704035,2.8015292,-499.91147,4793.860534593473,21.904004999999998
51934.40046675153,2.8011749,-499.85233,4793.999398353629,22.045782
51935.40046679903,2.8008992999999998,-499.85233,4794.13826176329,21.919756
51936.400466846535,2.8004661,-499.91147,4794.277125392085,21.730719
51937.40046689403,2.8002694,-499.93118,4794.415989316628,22.006399
51938.40046694153,2.7999544,-499.9509,4794.554852616833,21.864620000000002
51939.400466989035,2.7995999,-499.87204,4794.693716223672,21.91188
51940.400467036525,2.7992849,-499.93118,4794.832579863368,21.738595999999998
51941.40046708402,2.7988912999999997,-499.91147,4794.971443776891,21.982769
51942.40046713153,2.7985764,-499.93118,4795.110307821827,21.785854
51943.400467179024,2.7982614,-499.89175,4795.249171176793,21.967016
51944.400467226515,2.7978283999999998,-499.87204,4795.388033545992,21.714966
51945.40046727401,2.7976707999999997,-499.89175,4795.526897087116,21.927633
51946.40046732152,2.7972772,-499.93118,4795.66576151542,21.785854
51947.400467369014,2.7970015999999998,-499.93118,4795.804625264605,22.108795
51948.400467416504,2.7965291000000003,-499.97060999999997,4795.943488269045,21.959141
51949.400467464,2.796293,-499.91147,4796.0823519854575,21.91188
51950.40046751151,2.7960173999999998,-499.93118,4796.221215438946,21.967016
51951.400467559004,2.7955842,-499.99033,4796.360077873926,21.840992
51952.40046760649,2.7953482000000003,-499.91147,4796.498941502704,22.045782
