#"Step" "Potential Energy (kJ/mole)" "Temperature (K)"
86000 22204.345754969694 286.1629676254411
86500 22180.23581014929 305.930772419877
87000 22109.02330051718 282.29716633858317
87500 22153.814103174784 287.2380223561631
88000 22172.715731013395 290.44744097422165
88500 22363.7401708251 278.2636458998638
89000 22346.06445537863 311.8815730914639
89500 22335.963242877104 310.36681882306357
90000 22363.246392000296 306.5435481091925
90500 22318.095291483976 313.40764214443755
91000 22412.963692057707 305.33757230918167
91500 22321.32755492983 286.7973966082432
92000 22236.09140621481 285.4746181869511
92500 22248.02134739218 280.46687477030036
93000 22197.672888148405 282.7047989757339
93500 22169.14578830061 266.05506844336526
94000 22158.14027153311 287.94191710708697
94500 22089.616267550566 289.50348254175304
95000 22095.80245291052 302.06897636649626
95500 22201.113471854307 289.8652552555889
96000 22254.22234951315 283.38433690057394
96500 22142.31265472231 295.58452839947944
97000 22193.210401881315 308.07980547482407
97500 22196.265350926496 310.4947609999536
98000 22238.538409579374 295.35582956792643
98500 22289.547852862455 279.4610354806077
99000 22166.416832316496 287.6816770619003
99500 22260.022539485075 270.8687582980414
100000 22281.261324513533 287.8393831300684
100500 22261.460203517057 311.161982831851
101000 22352.654448222198 286.57623262216936
101500 22199.908491480925 291.0060959461754
102000 22184.46459089575 279.9902519865033
102500 22156.75725899992 278.5279412439462
103000 22234.000684607603 292.957220401926
103500 22243.02428900061 289.42187590965335
104000 22251.02916466055 287.6030993876178
104500 22131.543070424177 298.43059724302043
105000 22177.925724375822 289.2687758599841
105500 22186.731156695463 286.91152072963666
106000 22156.479044187643 308.9322693550459
106500 22309.758936751463 311.35901528622423
107000 22294.311513054945 321.9822712669946
107500 22275.818063724615 336.7242840614227
108000 22269.28858982382 308.0227058650635
108500 22191.9001191741 296.4801486704191
109000 22224.977258313276 280.38411663357596
109500 22160.843852389433 313.06847396703915
110000 22158.156636107542 280.5724126724268
110500 22218.742137301542 284.02645092511057
111000 22120.274415362455 303.2003046275742
111500 22175.959450114347 283.5934601535068
112000 22060.451635707 291.2343441889622
112500 22117.46562134085 281.90052306078564
113000 22054.912207949736 318.31648132690856
113500 22129.22007118521 300.9048552563231
114000 22073.640347827055 312.30425038686377
114500 22075.05618988333 307.7340036294788
115000 22154.841793168165 291.84083666826024
115500 22186.403712618925 294.9161550629574
116000 22086.09176384268 295.17168895880826
116500 22125.58785282431 298.49638320288483
117000 22040.404415834524 293.2407909321179
117500 22055.335527766325 273.8659496072222
118000 22108.048121798613 271.540936606367
118500 22048.509367335417 293.46781257215224
119000 22077.112267840483 302.1760913293044
119500 22128.01489590464 311.55171708190016
120000 22194.799450743772 296.84512557103676
120500 22157.01621924696 296.6153253002775
121000 22106.792022097685 282.8075832798448
121500 22171.360609877684 280.3771325076999
122000 22077.56806598959 299.54455280389067
122500 22132.424322474577 297.5589583075261
123000 22200.240257609465 305.40410925032313
123500 22073.24108074961 304.1843904929434
124000 22197.728678095915 264.6873062435813
124500 22076.03284298239 291.8480460885193
